CO2 emission per person (metric tons),1751,1755,1760,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001816492,0.010345801,0.011075107,0.01090342,0.012446975,0.012244045,0.017436095,0.020401088,0.032067799,0.035427054,0.040571359,0.04284266,0.049831331,0.068546184,0.06896493,0.080159851,0.094254528,0.099990324,0.114956367,0.107323136,0.080700021,0.139742009,0.154457025,0.121701178,0.126901795,0.145014905,0.157466198,0.144357039,0.170720347,0.152307409,0.157221968,0.124068351,0.14185166,0.15366196,0.189673387,0.218892083,0.277934166,0.253985179,0.256414739,0.235864739,0.223579289,0.205389319,0.177211031,0.092187586,0.080629967,0.071144383,0.06410684,0.057964759,0.052333365,0.048546686,0.037446034,0.034170007,0.027255262,0.014583427,0.022703695,0.02747237,0.036116006,0.044767408,0.064789118,0.126563922,0.206489973,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007348029,0.007311399,0.018169805,0.126561473,0.288349515,0.334935897,0.404361371,0.636948529,0.57,0.666368248,0.412868633,0.137254902,0.106326889,0.419410745,0.789503546,0.590604027,0.840088227,0.244444042,0.325276424,0.294650131,0.318097414,0.375088359,0.481267316,0.590725077,1.027880316,0.795012224,0.925468009,1.256701841,1.372937834,1.438779187,1.180253275,1.109828235,1.162781163,1.327097915,1.356347897,1.514140575,1.558242744,1.752982028,1.988592664,2.517372457,2.305870622,1.850820857,1.913666869,2.016905334,2.280678111,2.534488678,2.899387102,1.935387265,2.693793962,2.630935957,2.694629317,2.706556846,2.664398901,2.655662048,2.388739356,2.293062531,2.759128492,2.276142887,1.206369363,0.730643533,0.726533931,0.606605394,0.664204261,0.647904842,0.499261188,0.569225595,0.971341941,0.983553048,1.047320154,1.212816368,1.380886027,1.31653856,1.464659325,1.342792013,1.417079302,1.297752738,0.941724875,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00064234,0.001268629,0.003131946,0.003092815,0.003665008,0.004222419,0.004169664,0.002352896,0.004646997,0.005162554,0.006230953,0.008949968,0.011047684,0.012000618,0.012389347,0.014362303,0.016284023,0.017118026,0.019465386,0.018210491,0.006993375,0.009372428,0.004384103,0.021165601,0.030876709,0.039872755,0.062999331,0.058552672,0.061434924,0.074942026,0.091626096,0.088306276,0.094076111,0.105202641,0.432727975,0.46194881,0.425993246,0.429332779,0.436948757,0.474798324,0.503945835,0.546622437,0.503765344,0.535165726,0.570370529,0.551000579,0.505686445,0.475154568,0.484803036,0.553244337,0.689269664,0.67135256,0.699884897,0.845270958,1.096570915,1.317742925,1.94148771,2.545069699,2.055100819,1.99949703,2.368993416,2.454152784,3.547510105,2.505675767,3.535836994,2.388316861,1.953971991,2.534360345,3.317148065,3.293451227,3.352024808,3.59482194,3.492414075,3.24466281,3.11821676,3.141132831,3.097162036,3.035233508,3.111325685,3.3467306,3.354239287,3.015670427,3.608257647,3.060244617,2.879527679,2.720453311,2.889312782,2.899236274,2.762219639,3.257009779,3.213169256,3.324770106,3.232666515,3.470674782,3.3273938,3.45462553
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.290669098,6.520817044,7.061602855,7.533542944,8.022713656,8.112345411,7.897775769,7.700515138,7.414281031,7.499690096,7.390954533,6.839939571,6.622435189,6.527241242,6.178519784,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045087304,0.059093082,0.07253909,0.062829182,0.078119825,0.091232324,0.108632742,0.131650445,0.123998617,0.127099066,0.11081855,0.089967211,0.229385589,0.219632752,0.229464533,0.218738809,0.281433986,0.176895827,0.292657858,0.479197168,0.604477226,0.563847364,0.72921732,0.771936662,0.752610584,0.665117972,0.482509283,0.505675642,0.7532162,0.743715523,0.69988296,0.668069613,0.567561231,0.602354163,0.570031301,0.518519058,0.49989899,0.60812061,0.523452467,0.498247529,0.42857388,0.409911658,0.401560436,0.510094459,0.331290691,0.909616232,0.842412671,0.576990561,0.556212458,0.677616537,0.68507907,0.676339193,0.850521392,0.587810214,1.177610138,1.161661852,1.308848969,1.435043652,1.442642492,1.436423326,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.789665495,2.453557659,2.392716199,2.981568486,3.188960399,3.054791858,3.214323664,3.36314301,3.7817396,3.664572625,4.07605549,3.980909729,3.896822761,,
